"Area Type"," Area"," Area Name"," Standard Occupational Code"," Occupational Title"," Employment","Mean Wage"," Median Wage"," Entry Wage"," Experienced Wage                                                                                                                                                                                                                                             "
"1","36","New York State","00-0000","Total, All Occupations","9,541,880","$82,547","$59,959","$38,047","$104,798"
"1","36","New York State","11-0000","Management Occupations","642,760","$185,912","$160,736","$84,848","$236,445"
"1","36","New York State","11-1011","Chief Executives","7,830","$349,390","$223,383","$141,073","$453,549"
"1","36","New York State","11-1021","General and Operations Managers","210,890","$172,751","$132,400","$70,526","$223,863"
"1","36","New York State","11-1031","Legislators","1,440","$122,566","$98,853","$43,914","$161,892"
"1","36","New York State","11-2011","Advertising and Promotions Managers","3,570","$236,756","$207,941","$130,706","$289,781"
"1","36","New York State","11-2021","Marketing Managers","49,480","$199,351","$175,789","$108,963","$244,546"
"1","36","New York State","11-2022","Sales Managers","35,160","$256,166","$218,325","$131,397","$318,550"
"1","36","New York State","11-2032","Public Relations Managers","7,330","$218,918","$177,006","$121,332","$267,711"
"1","36","New York State","11-2033","Fundraising Managers","4,280","$180,140","$169,503","$111,352","$214,534"
"1","36","New York State","11-3012","Administrative Services Managers","14,140","$154,140","$134,951","$88,651","$186,885"
"1","36","New York State","11-3013","Facilities Managers","9,140","$143,113","$130,421","$85,570","$171,885"
"1","36","New York State","11-3021","Computer and Information Systems Managers","40,780","$226,279","$213,876","$142,753","$268,042"
"1","36","New York State","11-3031","Financial Managers","67,510","$248,776","$219,739","$134,809","$305,760"
"1","36","New York State","11-3051","Industrial Production Managers","6,250","$142,035","$131,031","$89,122","$168,491"
"1","36","New York State","11-3061","Purchasing Managers","5,980","$183,727","$168,009","$110,579","$220,300"
"1","36","New York State","11-3071","Transportation, Storage, and Distribution Managers","6,280","$137,606","$123,563","$84,483","$164,167"
"1","36","New York State","11-3111","Compensation and Benefits Managers","1,760","$195,347","$179,665","$123,520","$231,261"
"1","36","New York State","11-3121","Human Resources Managers","16,720","$195,603","$174,619","$111,978","$237,416"
"1","36","New York State","11-3131","Training and Development Managers","3,380","$180,067","$168,107","$106,724","$216,737"
"1","36","New York State","11-9013","Farmers, Ranchers, and Other Agricultural Managers",,"$86,253","$79,578","$53,883","$102,439"
"1","36","New York State","11-9021","Construction Managers","8,170","$158,652","$138,039","$91,027","$192,465"
"1","36","New York State","11-9031","Education Administrators, Preschool and Childcare Center/Program","3,810","$94,541","$81,140","$56,446","$113,589"
"1","36","New York State","11-9032","Education Administrators, Elementary and Secondary School","19,300","$145,027","$140,424","$95,664","$169,708"
"1","36","New York State","11-9033","Education Administrators, Postsecondary","7,340","$160,766","$138,697","$97,726","$192,284"
"1","36","New York State","11-9039","Education Administrators, All Other","2,820","$110,193","$95,281","$67,813","$131,383"
"1","36","New York State","11-9041","Architectural and Engineering Managers","7,330","$188,963","$176,749","$132,959","$216,965"
